colonia,municipio,estado,anio,mes,tipo_residuo,toneladas_recolectadas,num_viajes,cobertura_pct,canon_cercano,fuente
Zona Centro,Tijuana,Baja California,2021,Agosto,Plastico,39.98,14,88.8,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2021,Marzo,Metal,11.41,16,73.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2021,Octubre,Sanitario,27.9,7,71.8,N/A,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2021,Mayo,Papel/Carton,23.61,7,86.2,N/A,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2022,Agosto,Plastico,39.1,2,89.3,N/A,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2022,Noviembre,Vidrio,21.23,5,89.0,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2022,Marzo,Papel/Carton,15.87,7,72.4,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2022,Septiembre,Papel/Carton,25.76,14,68.7,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2023,Diciembre,Mixto,23.0,19,90.6,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2023,Abril,Metal,5.49,20,89.7,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2023,Enero,Vidrio,16.77,7,74.0,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Zona Centro,Tijuana,Baja California,2023,Mayo,Mixto,28.45,9,74.7,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2021,Junio,Papel/Carton,41.64,19,86.1,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2021,Agosto,Mixto,8.23,5,76.6,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2021,Marzo,Papel/Carton,10.67,7,90.5,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2021,Octubre,Sanitario,21.02,9,78.3,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2022,Noviembre,Papel/Carton,13.96,5,81.5,N/A,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2022,Julio,Papel/Carton,23.97,16,68.3,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2022,Abril,Mixto,17.79,17,92.3,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2022,Febrero,Papel/Carton,33.88,2,82.0,N/A,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2023,Septiembre,Plastico,2.98,5,95.9,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2023,Julio,Sanitario,27.87,3,96.0,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2023,Febrero,Plastico,22.22,6,66.2,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Otay,Tijuana,Baja California,2023,Octubre,Metal,5.14,20,81.3,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2021,Noviembre,Metal,8.5,11,60.0,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2021,Enero,Organico,8.61,4,84.1,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2021,Octubre,Sanitario,28.08,7,82.0,N/A,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2021,Febrero,Plastico,21.01,16,71.9,N/A,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2022,Agosto,Vidrio,26.59,15,92.8,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2022,Noviembre,Sanitario,6.45,7,66.1,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2022,Diciembre,Plastico,33.99,12,77.3,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2022,Abril,Organico,15.42,1,89.4,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2023,Julio,Metal,21.18,16,80.8,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2023,Noviembre,Vidrio,15.28,17,72.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
